Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
IRM,Iron Mountain Inc,30.64,0.23,+0.76%,30.87,30.21,4402600,01/03/20
ISRG,Intuitive Surg Inc,593.34,-3.92,-0.66%,594.58,582.16,418900,01/03/20
IT,Gartner Inc,155.98,-0.06,-0.04%,156.5,153.24,447800,01/03/20
ITW,Illinois Tool Works Inc,179.11,-2.57,-1.41%,180.07,177.51,1400700,01/03/20
IVZ,Invesco Plc,17.67,-0.32,-1.78%,17.74,17.42,5457900,01/03/20
J,Jacobs Engineering Group Inc,90.89,0.62,+0.69%,90.96,89.09,588900,01/03/20
JBHT,J B Hunt Transport,117.03,-0.49,-0.42%,117.21,115.85,535200,01/03/20
JCI,Johnson Controls Intl,40.66,-0.74,-1.79%,41.02,40.4,4206700,01/03/20
JKHY,Jack Henry & Assoc,145.72,-0.17,-0.12%,146.01,144.71,205600,01/03/20
JNJ,Johnson & Johnson,144.28,-1.69,-1.16%,145.37,143,5753400,01/03/20
JNPR,Juniper Networks,24.34,-0.37,-1.50%,24.51,24.17,3041800,01/03/20
JPM,JP Morgan Chase & Company,138.34,-2.75,-1.95%,139.23,137.08,10387500,01/03/20
JWN,Nordstrom,39.88,-0.23,-0.57%,40.8,39.32,3154100,01/03/20
K,Kellogg Company,68,0.36,+0.53%,68.36,67.4,1240500,01/03/20
KEY,Keycorp,19.91,-0.35,-1.73%,20.03,19.77,6898800,01/03/20
KEYS,Keysight Technologies Inc Comm,101.88,-2.31,-2.22%,102.85,101,1124100,01/03/20
KHC,Kraft Heinz Company,31.24,-0.37,-1.17%,31.65,31.22,5012800,01/03/20
KIM,Kimco Realty Corp,19.81,0.21,+1.07%,19.91,19.49,4152300,01/03/20
KLAC,K L A-Tencor Corp,179.08,-3.49,-1.91%,181.17,177.86,833400,01/03/20
KMB,Kimberly-Clark Corp,135.79,-0.04,-0.03%,136.77,134.62,1352900,01/03/20
KMI,Kinder Morgan,21.2,0.16,+0.76%,21.21,21.02,10148800,01/03/20
KMX,Carmax Inc,87.26,-2.25,-2.51%,88.73,86.7,1475400,01/03/20
KO,Coca-Cola Company,54.69,-0.3,-0.55%,54.99,54.09,11354400,01/03/20
KR,Kroger Company,28.7,0.04,+0.14%,28.82,28.4,5442000,01/03/20
KSS,Kohl's Corp,49.19,0.08,+0.16%,49.38,48.46,3174800,01/03/20
KSU,Kansas City Southern,155.26,-0.19,-0.12%,155.4,152.95,1053000,01/03/20
L,Loews Corp,52.76,-0.2,-0.38%,52.81,52.28,829200,01/03/20
LB,L Brands Inc,18.86,1.37,+7.83%,19.09,17.88,16173100,01/03/20
LDOS,Leidos Holdings Inc,99.48,0.86,+0.87%,99.87,97.41,1031000,01/03/20
LEG,Leggett & Platt Inc,49.78,-0.56,-1.11%,50.13,49.44,1174100,01/03/20
LEN,Lennar Corp,56.47,0.66,+1.18%,56.74,55.5,2623800,01/03/20
LH,Laboratory Corp of America Holdings,167.23,-0.25,-0.15%,167.61,164.17,556500,01/03/20
LHX,L3Harris Technologies Inc,210.47,7.16,+3.52%,210.83,206.17,2182300,01/03/20
LIN,Linde Plc,205.26,-5.48,-2.60%,209.05,205.17,2899200,01/03/20
LKQ,LKQ Corp,35.39,-0.41,-1.15%,35.59,35.16,1377400,01/03/20
LLY,Eli Lilly and Company,131.77,-0.44,-0.33%,132.47,130.23,1963900,01/03/20
LMT,Lockheed Martin Corp,413.74,14.37,+3.60%,417.17,403,2990500,01/03/20
LNC,Lincoln National Corp,57.97,-1.78,-2.98%,58.87,57.62,1597700,01/03/20
LNT,Alliant Energy Corp,53.8,0.17,+0.32%,54.35,53.56,976100,01/03/20
LOW,Lowe's Companies,119.6,-0.86,-0.71%,119.82,118.05,2774100,01/03/20
LRCX,Lam Research Corp,294.69,-3.2,-1.07%,296.81,291.72,962200,01/03/20
LUV,Southwest Airlines Company,54.35,-0.49,-0.89%,54.42,53.04,3536000,01/03/20
LVS,Las Vegas Sands,69.72,-1.08,-1.53%,70.15,69.39,2822500,01/03/20
LW,Lamb Weston Holdings Inc,93.56,9.47,+11.26%,94.46,86.19,3940600,01/03/20
LYB,Lyondellbasell Industries NV,91.55,-2.31,-2.46%,93.35,91.54,2713200,01/03/20
LYV,Live Nation Entertainment,71.64,-0.25,-0.35%,72.1,70.72,687000,01/03/20
M,Macy's Inc,16.53,0.01,+0.06%,16.61,16.21,12043200,01/03/20
MA,Mastercard Inc,300.43,-2.96,-0.98%,302.42,298.6,2501800,01/03/20
MAA,Mid-America Apartment Communities,131.07,1.46,+1.13%,131.21,129.02,481200,01/03/20
MAR,Marriot Int Cl A,149.27,-2.22,-1.47%,150.02,148.74,2116900,01/03/20
