Symbol,Company Name
GLADD,Gladstone Capital Corporation 
GLADN,Gladstone Capital Corporation 
GLBS,Globus Maritime Limited 
GLBY,WisdomTree Yield Enhanced Global Aggregate Bond Fund
GLBZ,Glen Burnie Bancorp 
GLD,SPDR Gold Trust
GLDD,Great Lakes Dredge & Dock Corporation 
GLDI,Credit Suisse AG 
GLDM,SPDR Gold MiniShares Trust
GLDW,SPDR Long Dollar Gold Trust
GLG,"China Bat Group, Inc. "
GLIBA,"GCI Liberty, Inc. "
GLIBP,"GCI Liberty, Inc. "
GLL,ProShares UltraShort Gold
GLMD,Galmed Pharmaceuticals Ltd. 
GLNG,Golar LNG Limited 
GLO,Clough Global Opportunities Fund Common Stock
GLOB,Globant S.A. Common Shares
GLOG,GasLog Ltd. Common Shares
GLOG$A,GasLog LP. 8.75% Series A Cumulative Redeemable Perpetual Preference Shares
GLOP,GasLog Partners LP Common Units representing limited partnership interests
GLOP$A,GasLog Partners LP 8.625% Series A Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units
GLOP$B,GasLog Partners LP 8.200% Series B Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units
GLOP$C,GasLog Partners LP 8.500% Series C Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units
GLOW,"Glowpoint, Inc. Common Stock"
GLP,Global Partners LP Global Partners LP Common Units representing Limited Partner Interests
GLP$A,Global Partners LP 9.75% Series A Fixed
GLPG,Galapagos NV 
GLPI,"Gaming and Leisure Properties, Inc. "
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest
GLRE,"Greenlight Reinsurance, Ltd. "
GLT,Glatfelter Common Stock
GLTR,Aberdeen Standard Physical Precious Metals Basket Shares ETF
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership
GLU$A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares
GLU$B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares
GLUU,Glu Mobile Inc. 
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest
GLW,Corning Incorporated Common Stock
GLYC,"GlycoMimetics, Inc. "
GM,General Motors Company Common Stock
GM.B,General Motors Company Warrant (Expires 07/10/2019)
GMAN,Goldman Sachs Motif Manufacturing Revolution ETF
GMDA,Gamida Cell Ltd. 
GME,GameStop Corporation Common Stock
GMED,"Globus Medical, Inc. Class A Common Stock"
GMF,SPDR S&P Emerging Asia Pacific ETF
GMHIU,"Gores Metropoulos, Inc. "
GMLP,Golar LNG Partners LP 
GMLPP,Golar LNG Partners LP 
GMO,"General Moly, Inc. Common Stock"
GMOM,Cambria Global Momentum ETF
GMRE,Global Medical REIT Inc. Common Stock
GMRE$A,Global Medical REIT Inc. Series A Cumulative Redeemable Preferred Stock
GMS,GMS Inc. Common Stock
GMTA,GATX Corporation 5.625% Senior Notes due 2066
GMZ,Goldman Sachs MLP Income Opportunities Fund
GNAF,"MicroSectors FANG  Index Inverse ETNs due January 8, 2038"
GNC,"GNC Holdings, Inc. Class A Common Stock"
GNCA,"Genocea Biosciences, Inc. "
GNE,Genie Energy Ltd. Class B Common Stock Stock
GNE$A,Genie Energy Ltd. Series 2012 
GNK,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands)
GNL,"Global Net Lease, Inc. Common Stock"
GNL$A,"Global Net Lease, Inc. 7.25% Series A Cumulative Redeemable Preferred Stock, $0.01 par value per share"
GNMA,iShares GNMA Bond ETF
GNMK,"GenMark Diagnostics, Inc. "
GNMX,"Aevi Genomic Medicine, Inc. "
GNPX,"Genprex, Inc. "
GNR,SPDR S&P Global Natural Resources ETF
GNRC,Generac Holdlings Inc. Common Stock
