	Code	PEG
0	AGT	888.0
1920	RORE	888.0
1921	RPV	888.0
1922	RPUT	888.0
1923	ROUS	888.0
1924	ROX	888.0
1925	RPIBC	888.0
1926	RPG	888.0
1927	RODM	888.0
1919	ROOF	888.0
1928	RMPL$	888.0
1930	RVRS	888.0
1931	RWDE	888.0
1932	RWDC	888.0
1933	RWCD	888.0
1934	RNDM	888.0
1935	RNDV	888.0
1936	RVNU	888.0
1937	RWGV	888.0
1929	RNR$F	888.0
1918	ROM	888.0
1917	ROGS	888.0
1916	RSP	888.0
1897	RYJ	888.0
1898	RYH	888.0
1899	RINF	888.0
1900	RYF	888.0
1901	RYU	888.0
1902	RWLS	888.0
1903	RWJ	888.0
1904	RWL	888.0
1905	ROAM	888.0
1906	ROBO	888.0
1907	RTM	888.0
1908	RTL	888.0
1909	ROBT	888.0
1910	RTH	888.0
1911	RTEC	888.0
1912	RSXJ	888.0
1913	RSX	888.0
1914	RODI	888.0
1915	RNSC	888.0
1938	RWED	888.0
1896	RJZ	888.0
1939	RNEM	888.0
1941	RVEN	888.0
1965	SGOL	888.0
1966	SAN$B	888.0
1967	SFLY	888.0
1968	SB$D	888.0
1969	SGG	888.0
1970	SGDM	888.0
1971	SGDJ	888.0
1972	SCE$G	888.0
1964	SGZA	888.0
1973	SBM	888.0
1975	SBB	888.0
1976	SCE$H	888.0
1977	SCJ	888.0
1978	SDOG	888.0
1979	SDOW	888.0
1980	SCIU	888.0
1981	SDLP	888.0
1982	SDIV	888.0
1974	SFS	888.0
1963	SH	888.0
1962	SHAG	888.0
1961	SHE	888.0
1942	RWIU	888.0
1943	RNN	888.0
1944	RUSS	888.0
1945	RUSL	888.0
1946	RWK	888.0
1947	RNLC	888.0
1948	SF$A	888.0
1949	SFIG	888.0
1950	SFHY	888.0
1951	SCAP	888.0
1952	SCA	888.0
1953	SCAC	888.0
1954	SCACU	888.0
1955	SCACW	888.0
1956	SF$B	888.0
1957	SCC	888.0
1958	SFB	888.0
1959	SBIO	888.0
1960	SBOT	888.0
1940	RNMC	888.0
1983	SCHR	888.0
1895	RYT	888.0
1893	RJN	888.0
1830	REET	888.0
1831	REEM	888.0
1832	QWLD	888.0
1833	REDV	888.0
1834	QXGG	888.0
1835	QXTR	888.0
1836	QYLD	888.0
1837	RAAX	888.0
1829	QVM	888.0
1838	RDVY	888.0
1840	RDS.B	888.0
1841	RDIV	888.0
1842	RAVI	888.0
1843	RBIN	888.0
1844	RDC	888.0
1845	RCP	888.0
1846	RBUS	888.0
1847	REFA	888.0
1839	RALS	888.0
1828	RETL	888.0
1827	RGLB	888.0
1826	QGRO	888.0
1807	QDIV	888.0
1808	RIDV	888.0
1809	QDYN	888.0
1810	QED	888.0
1811	RHT	888.0
1812	RHS	888.0
1813	QEFA	888.0
1814	QEMM	888.0
1815	RFUN	888.0
1816	RHE$A	888.0
1817	QGTA	888.0
1818	QID	888.0
1819	QINT	888.0
1820	QLC	888.0
1821	QQQE	888.0
1822	RGI	888.0
1823	QLD	888.0
1824	QLS	888.0
1825	QLTA	888.0
1848	REZ	888.0
1894	RWM	888.0
1849	RIGS	888.0
1851	QSY	888.0
1875	RILYI	888.0
1876	RWSL	888.0
1877	RWR	888.0
1878	RWO	888.0
1879	RWX	888.0
1880	RLY	888.0
1881	RYE	888.0
1882	SAF	888.0
1874	RWUI	888.0
1883	RISE	888.0
1885	SAA	888.0
1886	RJA	888.0
1887	RZV	888.0
1888	RZG	888.0
1889	RZB	888.0
1890	RJI	888.0
1891	RLM	888.0
1892	RYZZ	888.0
1884	SAB	888.0
1873	RWVG	888.0
1872	RWW	888.0
1871	SAGG	888.0
1852	QTEC	888.0
1853	QTNA	888.0
1854	QVCD	888.0
1855	REMX	888.0
1856	REW	888.0
1857	REML	888.0
1858	QTUM	888.0
1859	QUAL	888.0
1860	REK	888.0
1861	QUS	888.0
1862	REGL	888.0
1863	REM	888.0
1864	QQXT	888.0
1865	RING	888.0
1866	RY$T	888.0
1867	RMG.U	888.0
1868	RXL	888.0
1869	RXI	888.0
1870	RXD	888.0
1850	QVAL	888.0
1984	SDGA	888.0
1985	SDG	888.0
1986	SDEM	888.0
2101	SRLN	888.0
2102	STPZ	888.0
2103	STOT	888.0
2104	SPDN	888.0
2105	SPDV	888.0
2106	SPDW	888.0
2107	SUB	888.0
2108	STZ.B	888.0
2100	SPLG	888.0
2109	SPE$B	888.0
2111	SPFF	888.0
2112	STT$C	888.0
2113	SPHB	888.0
2114	SPHD	888.0
2115	SPHQ	888.0
2116	SPIB	888.0
2117	SRS	888.0
2118	STPP	888.0
2110	SPEM	888.0
2099	SPLV	888.0
2098	SPTL	888.0
2097	STIP	888.0
2078	SJB	888.0
2079	SJNK	888.0
2080	SKF	888.0
2081	SNLN	888.0
2082	SKIS	888.0
2083	SKYY	888.0
2084	SLG$I	888.0
2085	SLIM	888.0
2086	SLQD	888.0
2087	SMN	888.0
2088	SMMV	888.0
2089	SMMU	888.0
2090	SKOR	888.0
2091	SLYV	888.0
2092	SPSB	888.0
2093	SPSM	888.0
2094	SPMV	888.0
2095	SPMO	888.0
2096	SPMD	888.0
2119	SPLB	888.0
2077	SMB	888.0
2120	SPTM	888.0
2122	SPUU	888.0
2146	STAR$I	888.0
2147	STAR$G	888.0
2148	SPYB	888.0
2149	SSLJ	888.0
2150	SPXS	888.0
2151	STAG$C	888.0
2152	SPXT	888.0
2153	SPXU	888.0
2145	SPXN	888.0
2154	SPXV	888.0
2156	STAR$D	888.0
2157	TFLO	888.0
2158	SXCP	888.0
2159	TAIL	888.0
2160	TAGS	888.0
2161	SUSA	888.0
2162	SUSB	888.0
2163	TERM	888.0
2155	SPY	888.0
2144	SPXL	888.0
2143	SPXE	888.0
2142	SPXB	888.0
2123	SSW$H	888.0
2124	SRVR	888.0
2125	SRET	888.0
2126	SPTS	888.0
2127	SPYD	888.0
2128	SPYG	888.0
2129	SSWA	888.0
2130	SPYV	888.0
2131	SSPY	888.0
2132	SQLV	888.0
2133	SSFN	888.0
2134	SSO	888.0
2135	SSG	888.0
2136	SRE$A	888.0
2137	SPYX	888.0
2138	SQQQ	888.0
2139	SSWN	888.0
2140	SRTY	888.0
2141	SPVU	888.0
2121	STI$A	888.0
2076	SIZ	888.0
2075	SIVR	888.0
2074	SLT	888.0
2010	SCHC	888.0
2011	SECT	888.0
2012	SCHO	888.0
2013	SCHD	888.0
2014	SCHF	888.0
2015	SCHG	888.0
2016	SEA	888.0
2017	SCHH	888.0
2009	SCHB	888.0
2018	SDYL	888.0
2020	SDVY	888.0
2021	SCHK	888.0
2022	SDS	888.0
2023	SCHE	888.0
2024	SCIJ	888.0
2025	SOYB	888.0
2026	SOXX	888.0
2027	SOXS	888.0
2019	SDY	888.0
2008	SCHA	888.0
2007	SCE$L	888.0
2006	SCOM	888.0
1987	SDD	888.0
1988	SDP	888.0
1989	SDCI	888.0
1990	SCHV	888.0
1991	SCZ	888.0
1992	SCIN	888.0
1993	SCHW$C	888.0
1994	SCHW$D	888.0
1995	SCHX	888.0
1996	SCHZ	888.0
1997	SCTO	888.0
1998	SCID	888.0
1999	SDAG	888.0
2000	SCIF	888.0
2001	SCHP	888.0
2002	SCHM	888.0
2003	SEF	888.0
2004	SCIX	888.0
2005	SCO	888.0
2028	SNSR	888.0
2029	SOXL	888.0
2030	SILJ	888.0
2031	SIL	888.0
2055	SMLL	888.0
2056	SMLF	888.0
2057	SLVP	888.0
2058	SMIN	888.0
2059	SMI	888.0
2060	SLX	888.0
