Symbol,Company Name
HTH,Hilltop Holdings Inc.
HTHT,Huazhu Group Limited 
HTLD,"Heartland Express, Inc. "
HTLF,"Heartland Financial USA, Inc. "
HTRB,Hartford Total Return Bond ETF
HTUS,Hull Tactical US ETF
HTY,John Hancock Tax
HTZ,"Hertz Global Holdings, Inc Common Stock "
HUBB,Hubbell Inc Common Stock
HUBG,"Hub Group, Inc. "
HUBS,"HubSpot, Inc. Common Stock"
HUD,Hudson Ltd. Class A Common Shares
HUM,Humana Inc. Common Stock
HUN,Huntsman Corporation Common Stock
HUNT,Hunter Maritime Acquisition Corp. 
HUNTU,Hunter Maritime Acquisition Corp. 
HUNTW,Hunter Maritime Acquisition Corp. 
HURC,"Hurco Companies, Inc. "
HURN,Huron Consulting Group Inc. 
HUSA,Houston American Energy Corporation Common Stock
HUSE,Strategy Shares US Market Rotation Strategy ETF
HUSV,First Trust Exchange
HUYA,"HUYA Inc. American depositary shares, each  representing one Class A ordinary share"
HVBC,"HV Bancorp, Inc. "
HVT,"Haverty Furniture Companies, Inc. Common Stock"
HVT.A,"Haverty Furniture Companies, Inc. Common Stock"
HWBK,"Hawthorn Bancshares, Inc. "
HWC,Hancock Whitney Corporation 
HWCC,Houston Wire & Cable Company 
HWCPL,Hancock Whitney Corporation 
HWKN,"Hawkins, Inc. "
HX,Hexindai Inc. 
HXL,Hexcel Corporation Common Stock
HY,Hyster
HYB,"New America High Income Fund, Inc. (The) Common Stock"
HYD,VanEck Vectors High Yield Municipal Index ETF
HYDB,iShares Edge High Yield Defensive Bond ETF
HYDD,Direxion Daily High Yield Bear 2X Shares
HYDW,Xtrackers Low Beta High Yield Bond ETF
HYEM,VanEck Vectors Emerging Markets High Yield Bond ETF
HYG,iShares iBoxx $ High Yield Corporate Bond ETF
HYGH,iShares Interest Rate Hedged High Yield Bond ETF
HYGS,Hydrogenics Corporation 
HYGV,FlexShares High Yield Value
HYHG,ProShares High Yield Interest Rate Hedged
HYI,Western Asset High Yield Defined Opportunity Fund Inc. Common Stock
HYIH,Xtrackers High Yield Corporate Bond 
HYLB,Xtrackers USD High Yield Corporate Bond ETF
HYLD,High Yield ETF
HYLS,First Trust High Yield Long/Short ETF
HYLV,IndexIQ ETF Trust IQ S&P High Yield Low Volatility Bond ETF
HYMB,SPDR Nuveen S&P High Yield Municipal Bond ETF
HYND,WisdomTree Negative Duration High Yield Bond Fund
