Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
EOG,Eog Resources,84.99,0.85,+1.01%,86.85,84.06,3716500,01/03/20
EQIX,Equinix Inc,585.12,5.77,+1.00%,590.36,575.47,385100,01/03/20
EQR,Equity Residential,80.8,1.03,+1.29%,80.92,79.41,1326600,01/03/20
ES,Eversource Energy,82.86,-0.37,-0.44%,83.51,82.7,2199100,01/03/20
ESS,Essex Property Trust,301.2,2.92,+0.98%,301.59,296.5,400700,01/03/20
ETFC,E*Trade Finl Corp,45.4,-0.69,-1.50%,45.58,44.85,1931600,01/03/20
ETN,Eaton Corp,95.16,-0.71,-0.74%,95.24,93.71,1557800,01/03/20
ETR,Entergy Corp,118.73,0.8,+0.68%,118.84,117.41,1422900,01/03/20
EVRG,Evergy Inc,63.5,0.06,+0.09%,63.78,63.3,956600,01/03/20
EW,Edwards Lifesciences Corp,231.63,-0.87,-0.37%,232.5,228.32,997800,01/03/20
EXC,Exelon Corp,45.57,0.14,+0.31%,45.76,45.32,5385500,01/03/20
EXPD,Expeditors Intl,77.87,-0.48,-0.61%,77.91,76.76,660100,01/03/20
EXPE,Expedia Group Inc,109.13,-1.85,-1.67%,110.44,108.35,2027000,01/03/20
EXR,Extra Space Storage Inc,106.52,1.79,+1.71%,106.59,104.4,744900,01/03/20
F,Ford Motor Company,9.21,-0.21,-2.23%,9.37,9.15,45059902,01/03/20
FANG,Diamondback Energy,94.41,1.76,+1.90%,95.75,93.43,2168700,01/03/20
FAST,Fastenal Company,36.57,-0.66,-1.77%,36.82,36.03,4101200,01/03/20
FB,Facebook Inc,208.67,-1.11,-0.53%,210.4,206.95,11197400,01/03/20
FBHS,Fortune Brands Home & Security,65.39,-0.42,-0.64%,65.5,64.55,739700,01/03/20
FCX,Freeport-Mcmoran Inc,12.8,-0.4,-3.03%,13.09,12.79,20404900,01/03/20
FDX,Fedex Corp,153.18,-1.92,-1.24%,153.34,151.84,2218000,01/03/20
FE,Firstenergy Corp,47.46,-0.07,-0.15%,47.66,47.32,2970900,01/03/20
FFIV,F5 Networks Inc,140,-0.76,-0.54%,140.95,138.55,420500,01/03/20
FIS,Fidelity National Information Services,139.02,-0.88,-0.63%,140.32,137.81,2365700,01/03/20
FISV,Fiserv Inc,116.37,0.85,+0.74%,116.73,114.5,2833900,01/03/20
FITB,Fifth Third Bncp,30.44,-0.58,-1.87%,30.62,30.19,4245300,01/03/20
FLIR,Flir Systems Inc,52.7,-0.05,-0.09%,52.75,51.9,546800,01/03/20
FLS,Flowserve Corp,49.88,-0.8,-1.58%,50.07,49.42,625800,01/03/20
FLT,Fleetcor Technologies,290.81,3.07,+1.07%,291.67,283.87,859000,01/03/20
FMC,FMC Corp,99.23,-0.65,-0.65%,99.42,98.32,835000,01/03/20
FOX,Fox Corp Cl B,36.1,-0.36,-0.99%,36.35,36.01,940200,01/03/20
FOXA,Fox Corp Cl A,36.67,-0.4,-1.09%,36.98,36.62,4035800,01/03/20
FRC,First Republic Bank,117.67,-0.31,-0.26%,117.81,116.39,526700,01/03/20
FRT,Federal Realty Investment Trust,126.14,0.86,+0.69%,126.32,124.36,475200,01/03/20
FTI,Technipfmc Plc,21.58,0.25,+1.17%,21.64,21.29,2749100,01/03/20
FTNT,Fortinet Inc,111.21,1.53,+1.39%,111.53,108.1,1328700,01/03/20
FTV,Fortive Corp,77.23,-0.32,-0.41%,77.35,76.03,1143400,01/03/20
GD,General Dynamics Corp,180.18,1.75,+0.98%,180.43,178,1662300,01/03/20
GE,General Electric Company,11.97,0.04,+0.34%,12,11.53,85917102,01/03/20
GILD,Gilead Sciences Inc,65.07,-0.16,-0.25%,65.37,64.56,4689700,01/03/20
GIS,General Mills,51.94,-0.19,-0.36%,52.51,51.82,4718800,01/03/20
GL,Globe Life Inc,104.3,-1.26,-1.19%,104.64,103.73,392600,01/03/20
GLW,Corning Inc,29.6,-0.39,-1.30%,29.73,29.31,6977600,01/03/20
GM,General Motors Company,36.32,-1.06,-2.84%,36.92,36.11,9176000,01/03/20
GOOG,Alphabet Cl C,1360.66,-6.71,-0.49%,1372.5,1345.54,1187000,01/03/20
GOOGL,Alphabet Cl A,1361.52,-7.16,-0.52%,1373.75,1347.32,1170600,01/03/20
GPC,Genuine Parts Company,104.31,-1.5,-1.42%,104.88,103.06,799000,01/03/20
GPN,Global Payments Inc,184.4,-1.27,-0.68%,185.8,182.27,1310800,01/03/20
GPS,Gap Inc,17.44,0.16,+0.93%,17.5,17.02,4817200,01/03/20
GRMN,Garmin Ltd,97.71,-0.63,-0.64%,98.17,97.27,503800,01/03/20
GS,Goldman Sachs Group,231.58,-2.74,-1.17%,232.61,230.3,2276000,01/03/20
GWW,W.W. Grainger,340.66,-4.05,-1.17%,342.26,335.01,355300,01/03/20
HAL,Halliburton Company,24.76,0.08,+0.32%,25.45,24.58,11563801,01/03/20
HAS,Hasbro Inc,105.05,-0.28,-0.27%,105.5,103.64,708000,01/03/20
HBAN,Huntington Bcshs,14.81,-0.18,-1.20%,14.85,14.6,7858600,01/03/20
HBI,Hanesbrands Inc,14.41,-0.16,-1.10%,14.5,14.24,5653500,01/03/20
HCA,Hca Holdings Inc,147.94,0.45,+0.31%,148.36,144.8,1191700,01/03/20
HD,Home Depot,218.93,-0.73,-0.33%,219.68,216.75,3425700,01/03/20
HES,Hess Corp,69.84,2.12,+3.13%,70.29,68.52,2925500,01/03/20
HFC,Hollyfrontier Corp,48.18,-3.21,-6.25%,51.75,47.66,3178400,01/03/20
HIG,Hartford Financial Services Group,60.64,-0.31,-0.51%,60.77,60.29,1326800,01/03/20
HII,Huntington Ingalls Industries,263.5,7.65,+2.99%,263.81,251.91,408000,01/03/20
HLT,Hilton Inc,109.99,-1.46,-1.31%,110.4,108.64,1854400,01/03/20
HOG,Harley-Davidson Inc,36.28,-0.81,-2.18%,36.85,36.11,1258200,01/03/20
HOLX,Hologic Inc,51.89,-0.18,-0.35%,51.94,51.13,1626600,01/03/20
HON,Honeywell International Inc,178.86,-1.93,-1.07%,179.83,177.41,2805200,01/03/20
HP,Helmerich & Payne,45.85,0.58,+1.28%,46.69,45.08,1293400,01/03/20
HPE,Hewlett Packard Enterprise Comp,15.77,-0.4,-2.47%,15.96,15.71,7802300,01/03/20
HPQ,Hp Inc,20.53,-0.26,-1.25%,20.68,20.45,5423400,01/03/20
HRB,H&R Block,23.46,-0.02,-0.09%,23.52,23.19,2626500,01/03/20
HRL,Hormel Foods Corp,44.25,-0.06,-0.14%,44.57,44.01,1858700,01/03/20
HSIC,Henry Schein Inc,66.56,-0.56,-0.83%,66.72,66.06,663400,01/03/20
HST,Host Marriott Financial Trust,18.04,-0.19,-1.04%,18.1,17.92,7338700,01/03/20
HSY,Hershey Foods Corp,145.26,1.3,+0.90%,145.89,143.76,770900,01/03/20
HUM,Humana Inc,364.86,1.62,+0.45%,372,364.38,891400,01/03/20
IBM,International Business Machines,134.34,-1.08,-0.80%,134.86,133.56,2373600,01/03/20
ICE,Intercontinental Exchange,94.67,2,+2.16%,94.98,91.95,2544400,01/03/20
IDXX,Idexx Laboratories,264.77,-0.25,-0.09%,266.39,259.99,399100,01/03/20
IEX,Idex Corp,172.76,-0.54,-0.31%,172.88,170.43,309100,01/03/20
IFF,International Flavors & Fragrances,126.35,-1.2,-0.94%,127.79,125.75,1072700,01/03/20
