Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,84.57,-1.38,-1.61%,85.33,84.5,1118300,01/03/20
AAL,American Airlines Gp,27.65,-1.44,-4.95%,28.29,27.34,14020000,01/03/20
AAP,Advance Auto Parts Inc,159.42,0.01,+0.01%,159.63,157.25,566900,01/03/20
AAPL,Apple Inc,297.43,-2.92,-0.97%,300.58,296.5,36633801,01/03/20
ABBV,Abbvie Inc,88.7,-0.85,-0.95%,89.39,87.9,5989400,01/03/20
ABC,Amerisourcebergen Corp,84.01,-1.07,-1.26%,85.07,83.27,801500,01/03/20
ABMD,Abiomed Inc,166.82,-1.99,-1.18%,169.32,165.24,746100,01/03/20
ABT,Abbott Laboratories,85.89,-1.06,-1.22%,86.67,85.59,4747000,01/03/20
ACN,Accenture Plc,209.8,-0.35,-0.17%,210.63,207,1802000,01/03/20
ADBE,Adobe Systems Inc,331.81,-2.62,-0.78%,332.98,328.69,1579300,01/03/20
ADI,Analog Devices,118.31,-2.12,-1.76%,119.67,117.73,1374300,01/03/20
ADM,Archer Daniels Midland,46.02,-0.09,-0.20%,46.19,45.72,2259400,01/03/20
ADP,Automatic Data Procs,169.96,-0.36,-0.21%,170.45,168.06,1000000,01/03/20
ADS,Alliance Data Systems Corp,110.38,-2.1,-1.87%,111.69,108.02,570500,01/03/20
ADSK,Autodesk Inc,184.95,-2.88,-1.53%,186.41,183.78,737800,01/03/20
AEE,Ameren Corp,76.08,0.03,+0.04%,76.55,75.84,1239900,01/03/20
AEP,American Electric Power Company,93.36,-0.1,-0.11%,94.04,93.1,1939400,01/03/20
AES,The Aes Corp,19.8,-0.23,-1.15%,20.04,19.74,5349400,01/03/20
AFL,Aflac Incorporated,52.98,-0.37,-0.69%,53.22,52.77,2125400,01/03/20
AGN,Allergan Plc,191.08,-1.16,-0.60%,192,190.25,2088500,01/03/20
AIG,American International Group,51.36,-0.4,-0.77%,51.47,50.94,2358700,01/03/20
AIV,Apartment Investment and Management,51.38,0.8,+1.58%,51.61,50.29,1101500,01/03/20
AIZ,Assurant Inc,132.99,0.63,+0.48%,133.05,131.01,280200,01/03/20
AJG,Arthur J. Gallagher & Company,95.31,-0.2,-0.21%,95.52,94.29,678100,01/03/20
AKAM,Akamai Technologies,87.24,-0.4,-0.46%,87.5,86.4,865900,01/03/20
ALB,Albemarle Corp,71.57,-1.04,-1.43%,72.39,71.22,1337600,01/03/20
ALGN,Align Technology,280.44,-3.24,-1.14%,282.02,278.68,488700,01/03/20
ALK,Alaska Air Group,66.92,-1.25,-1.83%,67.11,66.02,1404600,01/03/20
ALL,Allstate Corp,112.83,0.01,+0.01%,113.1,111.77,1047100,01/03/20
ALLE,Allegion Plc,123.84,-1.55,-1.24%,124.9,122.83,480500,01/03/20
